player_id,player_name,liga,rating_promedio,partidos_total
1647753,Didier Palacios,Colombia 2 Div,7.65,2
1906041,Andrés Lorenzo Carreño Zambrano,Colombia 2 Div,7.428571428571429,7
1836596,Gabriel Arrieta,Colombia 2 Div,7.385714285714286,7
2039649,Kevin Andres Álvarez Carvajal,Colombia 2 Div,7.3500000000000005,6
1904871,Leyner David Palacios Cordoba,Colombia 2 Div,7.283333333333334,6
2026435,Daniel Davi Simão Roque,Paulista A2,7.266666666666667,15
1066620,Miguel Monsalve,Gaúcho,7.233333333333334,3
2048967,Didier Dawson,Colombia 2 Div,7.233333333333333,6
1174174,Andrés Felipe Alfonso Ciprian,Colombia 2 Div,7.2124999999999995,8
1907760,Viery,Gaúcho,7.200000000000001,7
1388644,Andrés Tovar,Colombia 2 Div,7.199999999999999,2
2441838,Cristian Graciano Morales,Colombia 2 Div,7.175,8
1466084,Wallace Yan,Carioca,7.166666666666667,3
2125637,Vitinho,Paranaense,7.154545454545455,11
2008383,Juan Alberto Sanchez,Colombia 2 Div,7.1125,8
1512551,Ythallo,Carioca,7.1000000000000005,4
1463339,Juninho,Paulista A2,7.1000000000000005,14
1831399,Nilzo Ramírez,Colombia 2 Div,7.1,5
1414729,Jhon Lerma,Colombia 2 Div,7.1,7
2087280,Dani Jose Ferrer,Colombia 2 Div,7.1,1
1587832,Lucas Soares Stefanello,Paulista A2,7.1,10
1592238,Yago Lincoln,Paranaense,7.066666666666666,12
1902547,Tomás Andrés Díaz Carabali,Colombia 2 Div,7.057142857142857,7
1482359,Jhoan Hernandez,Carioca,7.05,2
1899911,Samuel  Flórez,Colombia 2 Div,7.0375,8
1150391,Vitor Roque,Paulista A1,7.029999999999999,10
1906056,Javier Arturo Ortíz Fernández,Colombia 2 Div,7.028571428571429,7
1137867,Alejandro Aguilar,Colombia 2 Div,7.0249999999999995,8
1478279,Daniel Marmolejo,Colombia 2 Div,7.0125,8
1631268,Gabriel Justino,Carioca,7.0,6
2440201,Alemão,Paulista A1,7.0,3
1476558,Dantas,Paulista A1,7.0,10
1906181,Freddy Enrique Molina Salcedo,Colombia 2 Div,7.0,7
1654460,Jhojan Amaya,Colombia 2 Div,7.0,7
1427847,Dilan Tapia,Colombia 2 Div,7.0,3
1899908,Philippe Oviedo,Colombia 2 Div,7.0,7
1485191,Allex,Gaúcho,7.0,10
1906183,Carlos Yesid Restrepo Castillo,Colombia 2 Div,6.9875,8
1829051,Duván Ruiz,Colombia 2 Div,6.985714285714286,7
2052685,Darwin Torres,Colombia 2 Div,6.983333333333333,6
1901814,Andres Ruíz,Colombia 2 Div,6.983333333333333,6
1174933,Sebastián Girado,Colombia 2 Div,6.975,8
1385943,Kleiton Cuellar,Colombia 2 Div,6.975,4
1855842,Santiago Mora,Colombia 2 Div,6.966666666666666,3
2041502,Carlos Jhoanny Gómez García,Colombia 2 Div,6.957142857142857,7
1808911,Santiago Agamez,Colombia 2 Div,6.957142857142857,7
1478337,Luis Palacios,Colombia 2 Div,6.957142857142857,7
1609538,Lucas Mazdiel Aruba Santos,Paulista A2,6.944444444444445,9
2214562,Thierry Hanry Praxedes Conti,Paulista A2,6.942857142857143,7
1067645,Luiz Guilherme,Paulista A2,6.938461538461539,13
1170954,Victor Hugo,Mineiro,6.9375,8
2461844,Mateo Valencia Gómez,Colombia 2 Div,6.933333333333334,3
2183867,Jesus Peñaloza,Colombia 2 Div,6.928571428571429,7
1835889,Allan,Paulista A1,6.927272727272728,11
2451049,Samuel Barco Maturana,Colombia 2 Div,6.925,4
1589395,Thiago Montelo Pereira,Paulista A2,6.921428571428572,14
1645851,Luiz Gustavo,Paulista A2,6.92,10
1176199,Válber Júnior,Gaúcho,6.92,5
1145106,Evertton Araujo,Carioca,6.916666666666667,6
1843325,Kadu Santos,Carioca,6.916666666666667,6
2172102,Cristian Iguarán,Colombia 2 Div,6.914285714285714,7
1201151,José Mercado,Colombia 2 Div,6.914285714285714,7
1883345,Luiz Felipe,Carioca,6.9,1
2159969,Michael Fashanu,Carioca,6.9,2
1901095,Carlos Andres  Franco Bustillo,Colombia 2 Div,6.8999999999999995,7
1906097,Alejandro Jose Onate Zuniga,Colombia 2 Div,6.887499999999999,8
2063961,Emanuel Londoño,Colombia 2 Div,6.883333333333333,6
1590414,Paulo Amorim,Paulista A2,6.881818181818182,11
1587856,Lipe Gadol,Paulista A2,6.877777777777777,9
1904102,Jesús Rodríguez,Colombia 2 Div,6.875,4
2057372,Brandon Mejía,Colombia 2 Div,6.875,8
1524156,João Vitor Gomes Lopes,Paulista A2,6.875,8
1173236,Guilherme Kayron,Carioca,6.875,4
1977823,Harold Ortiz,Colombia 2 Div,6.874999999999999,8
2126508,Luis Alejandro Rangel Hernández,Colombia 2 Div,6.871428571428572,7
1839558,Kener González,Colombia 2 Div,6.8625,8
2031365,Gabriel William,Paulista A2,6.859999999999999,5
1113527,Julián Palacios,Colombia 2 Div,6.85,4
1174856,Jesús Díaz,Colombia 2 Div,6.8428571428571425,7
1906021,Milton Yasert Andrade Morán,Colombia 2 Div,6.8375,8
2018803,Edwin Cabezas,Colombia 2 Div,6.8375,8
2452197,Johan Grisales Obando,Colombia 2 Div,6.833333333333333,3
2443188,Vitor Mariano Severo,Paulista A2,6.8307692307692305,13
1478220,Jean Vallejo,Colombia 2 Div,6.825,8
1899906,Miguel Agamez,Colombia 2 Div,6.825,4
1499920,Lucas Cruz,Carioca,6.816666666666666,12
1589800,Lucas Alvim Vicente da Silva,Paulista A2,6.8133333333333335,15
2042121,Didier Fabián Henao Beitar,Colombia 2 Div,6.8125,8
1546702,Allan Passos dos Santos,Paulista A2,6.800000000000001,13
2048018,Juan Pablo García Habib,Colombia 2 Div,6.8,7
1906109,Jhoan Alberto Pinto Gámez,Colombia 2 Div,6.8,2
2464432,Juan Jeronimo Alba Quintero,Colombia 2 Div,6.8,3
1174884,Deivi Barrios,Colombia 2 Div,6.8,8
1834741,Bruno Alberto dos Santos,Paulista A2,6.776923076923077,13
2036751,Welington Zarú,Carioca,6.775,4
1901813,Luis Gómez,Colombia 2 Div,6.775,8
