player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
990160,Vinicius Paiva,16.0,M,False,01/03/2001,01/03/2001,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,81,6.2,0,0,2001,25,False,0.0
850987,Robson,11.0,F,False,30/05/1991,30/05/1991,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,6.1,0,0,1991,35,False,0.0
2440201,Alemão,21.0,D,True,02/09/2007,02/09/2007,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,13,7.1,0,0,2007,19,True,0.0
606612,Nicolas Careca,30.0,F,True,18/05/1997,18/05/1997,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,13,7.0,0,0,1997,29,False,0.0
1836636,Tavinho,15.0,F,True,19/07/2004,19/07/2004,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,9,6.7,0,0,2004,22,True,0.0
293235,Christian Ortíz,8.0,F,True,21/08/1992,21/08/1992,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,9,6.6,0,0,1992,34,False,0.0
1016874,Juninho,50.0,M,True,23/01/2001,23/01/2001,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,9,6.5,0,0,2001,25,False,0.0
973738,Carlos Miguel,1.0,G,False,09/10/1998,09/10/1998,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,5.7,0,0,1998,28,False,0.0
984896,Khellven,12.0,D,False,25/02/2001,25/02/2001,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,6.7,0,0,2001,25,False,0.0
874729,Murilo,26.0,D,False,27/03/1997,27/03/1997,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,7.2,1,0,1997,29,False,0.0
