match_id,partido,liga,peso_liga,match_date,home_team_id,away_team_id,n_u23,densidad_u23,minutos_u23,rating_promedio_u23,tiene_rating,mps,formula_usada,z_score,percentil_zscore,prioridad,z_score_grupo,grupo_zscore,percentil_zscore_grupo
2026247708,Arsenal de Sarandí vs Def. Unidos,Primera B Metro,0.9,09/03/2026,,,7,0.636,595,0.0,False,7.15,SIN_RATING,2.13576423757373,100.0,TOP,2.179805247058328,SIN rating,100.0
15180172,Ituano vs Monte Azul,Paulista A2,0.65,07/03/2026,2025.0,39617.0,8,0.727,702,6.48,True,6.88,CON_RATING,0.9016204032310562,78.84615384615384,TOP,2.096859227128537,Resto CON rating,98.0
15571107,Rio Branco-ES vs Athletic Club,Copa Brasil,0.75,05/03/2026,49199.0,342775.0,7,0.636,579,0.0,False,6.7,SIN_RATING,1.7606885636320428,96.15384615384616,TOP,1.7969952403551404,SIN rating,96.1
15180161,EC Santo André vs EC São Bento,Paulista A2,0.65,07/03/2026,6966.0,6967.0,7,0.636,569,6.87,True,6.54,CON_RATING,0.6640522258010594,76.92307692307693,TOP,1.7427230021023845,Resto CON rating,94.1
15651378,Botafogo vs Bangu,Carioca,0.85,07/03/2026,1958.0,1993.0,6,0.545,512,6.83,True,6.48,CON_RATING,0.6221284297840014,75.0,TOP,1.6802283741565933,Resto CON rating,92.2
15415180,Real Cartagena vs Orsomarso SC,Colombia 2 Div,0.6,07/03/2026,6119.0,213490.0,11,1.0,932,6.62,True,8.19,CON_RATING,1.8169566162701616,98.07692307692308,TOP,1.6699115399510427,Colombia CON rating,90.2
2026247709,Dep. Armenio vs Deportivo Laferrere,Primera B Metro,0.9,09/03/2026,,,6,0.545,531,0.0,False,6.52,SIN_RATING,1.6106582940553678,94.23076923076924,MUY ALTA,1.643871237673865,SIN rating,88.2
15592404,Santa Catarina Clube vs Cuiabá,Copa Brasil,0.75,05/03/2026,465990.0,49202.0,6,0.545,485,0.0,False,6.07,SIN_RATING,1.2355826201136817,84.61538461538461,MUY ALTA,1.261061230970678,SIN rating,86.3
15415178,Envigado FC vs Boca Juniors de Cali,Colombia 2 Div,0.6,05/03/2026,6114.0,89366.0,10,0.909,838,7.04,True,7.86,CON_RATING,1.5863757381763417,92.3076923076923,MUY ALTA,1.0463519267302865,Colombia CON rating,84.3
15512228,Nova Iguaçu vs Sampaio Corrêa-RJ,Carioca,0.85,08/03/2026,6981.0,257632.0,4,0.364,330,7.0,True,5.62,CON_RATING,0.0212206868728325,57.692307692307686,MUY ALTA,0.7844720402669121,Resto CON rating,82.4
15180168,Ferroviária vs CA Linense,Paulista A2,0.65,07/03/2026,35285.0,47503.0,5,0.455,428,6.62,True,5.56,CON_RATING,-0.020703109144226,48.07692307692308,MUY ALTA,0.7219774123211199,Resto CON rating,80.4
