player_id,player_name,team_name,liga,birth_year,date_of_birth,rating_promedio,partidos_total
1589382,Renato Victor,Foz do Iguaçu,Paranaense,2004,03/08/2004,6.300000000000001,2
2077469,Carlos Augusto Tosta dos Santos,Vitória U17,Baiano,2008,15/05/2008,6.300000000000001,2
1589933,Welington Zarú,Bangu,Carioca,2004,18/09/2004,6.3,1
2035892,Cayke,No team,Carioca,2005,13/09/2005,6.3,1
1482358,Bahia,Corinthians U20,Paulista A1,2006,02/01/2006,6.3,1
1471217,Caio Maia,Londrina,Paranaense,2005,31/03/2005,6.3,1
1878736,Diego Minete,Vasco da Gama U17,Carioca,2009,26/01/2009,6.3,1
1634144,Guilherme Estrella,CRB,Carioca,2005,22/04/2005,6.3,1
2084495,Kauan Vitor Silva Ferreira de Melo,Vitória U20,Baiano,2006,15/06/2006,6.3,1
2440291,Pedrinho,EC Democrata,Mineiro,2003,07/01/2003,6.3,1
1485503,Samuel,América Mineiro,Mineiro,2004,09/01/2004,6.3,1
2165315,André Silveira Rodrigues,Monte Azul,Paulista A2,2007,04/08/2007,6.3,1
2054072,Jajá,No team,Paulista A2,2005,26/11/2005,6.3,1
1633779,Lucas Dias do Rosario,Ituano,Paulista A2,2005,10/03/2005,6.3,1
1633536,Pedro Silva,Nova Iguaçu,Carioca,2004,20/07/2004,6.3,1
2122414,Igor,Galícia U20,Baiano,2005,02/07/2005,6.3,1
2026934,Leonardo Souza de Oliveira,Ituano U20,Paulista A2,2005,20/05/2005,6.3,1
1590315,Enzo Duscov Boer,Santos,Paulista A2,2005,06/01/2005,6.3,2
1883293,David Viana de Oliveira,Flamengo U17,Carioca,2007,18/05/2007,6.3,2
1470165,João Gabriel,Ponte Preta,Paulista A1,2005,24/02/2005,6.3,2
2428433,Arthur Izaque,Botafogo,Carioca,2007,29/06/2007,6.283333333333334,6
1589134,Wanderson Barros de Sousa,Tombense,Mineiro,2004,14/04/2004,6.283333333333334,6
1902433,Néstor Camilo Durán Rueda,Real Santander,Colombia 2 Div,2004,11/12/2004,6.279999999999999,5
2447770,Luan,Maricá FC,Carioca,2007,13/07/2007,6.275,4
1539987,Ryan Andrade,Friburguense,Carioca,2004,13/05/2004,6.25,4
1107067,João Victor Balão,Capivariano,Paulista A1,2003,07/01/2003,6.25,2
1864297,Lucas Taverna,Coritiba U20,Paranaense,2007,08/05/2007,6.25,2
2270394,Jhon Mauricio Maturana Carabalí,Colombia U17,Colombia 2 Div,2009,26/11/2009,6.25,4
1588309,Gabriel Bartelli,Vitória da Conquista U20,Baiano,2004,25/01/2004,6.2,2
2076565,Lyan Araujo,Bahia U20,Baiano,2009,17/02/2009,6.2,3
1805161,Gabriel de Azevedo,Boavista,Carioca,2005,07/01/2005,6.2,4
1951930,Juan Jose Rey Hernandez,Envigado FC,Colombia 2 Div,2007,10/08/2007,6.2,1
1524110,Fabrício Dias,Guarani,Paulista A1,2004,26/08/2004,6.2,1
1804699,Gustavo Veiga,Athletico U20,Paranaense,2006,16/01/2006,6.2,1
2169670,Yaiker Moya,Colombia U17,Colombia 2 Div,2009,15/09/2009,6.2,1
1411160,Thomás Agustin Fretes,Pouso Alegre FC,Mineiro,2004,16/03/2004,6.2,1
2075010,Weimar Vivas Palacios,Red Bull Bragantino U20,Paulista A1,2006,17/10/2006,6.2,1
2033845,Daniel Bolt,CA Linense,Paulista A2,2005,05/09/2005,6.199999999999999,2
1883339,Johnny Monteiro,Flamengo U17,Carioca,2007,27/03/2007,6.199999999999999,2
2463605,Cauã Mendes,Maricá FC,Carioca,2006,26/10/2006,6.166666666666667,3
1517441,Tarcísio Muniz,Capivariano,Paulista A1,2003,30/08/2003,6.166666666666667,3
1633621,Robert Alves,Athletic Club,Mineiro,2005,03/02/2005,6.15,2
1637198,Flavio dos Reis Frazão,Pouso Alegre FC,Paulista A2,2004,04/01/2004,6.15,2
1470521,André Cardoso,Londrina,Paranaense,2003,17/05/2003,6.15,2
1831101,Rayan Lelis,Cruzeiro U20,Mineiro,2007,19/01/2007,6.15,2
1645760,Marlon Cavalcanti,Ituano,Paulista A2,2005,19/06/2005,6.15,4
2436883,Kayke Ayrton,Athletico U17,Paranaense,2008,26/04/2008,6.15,2
1799269,Cauã Coutinho,Madureira,Carioca,2004,01/01/2004,6.1499999999999995,6
1589358,Otávio Costa,Cruzeiro,Mineiro,2005,27/12/2005,6.1000000000000005,3
2441493,Rodrigo Silva Villas Bôas Villela,Sertãozinho,Paulista A2,2008,04/06/2008,6.1,2
2055835,Vinicius Meireles,Ferroviária U20,Paulista A2,2005,10/07/2005,6.1,1
1588708,Guilherme Victor,Novo Esporte Clube,Paulista A2,2004,29/01/2004,6.1,1
2453450,Yojhan Estiben Sánchez Caicedo,Leones FC U20,Colombia 2 Div,2005,07/09/2005,6.1,1
2185481,Marquinhos,Botafogo,Carioca,2007,15/02/2007,6.0,4
1917863,Gusttavo Sousa,Flamengo U20,Carioca,2006,10/01/2006,5.95,2
1561524,Júlio Fidelis,Fluminense,Carioca,2006,06/11/2006,5.9,2
1631591,Matheus Henrique Rocha,Ituano U20,Paulista A2,2006,10/06/2006,5.8,1
2443393,Cristian David Banguera  Sinisterra,Once Caldas U20,Paranaense,2006,02/09/2006,5.633333333333333,3
1857062,Rogerinho,Botafogo U17,Carioca,2008,11/04/2008,5.2,1
1640597,Carbone,FC Lugano,Carioca,2005,29/01/2005,3.0,1
