Nombre	 País	 Equipo	 Categoría	 Edad	 Año	 Altura	 ELO	 Max. ELO	 REAP	 +/- ELO (1 año)	 Potencial	 Fin Contrato	 Valor de mercado	 Agente	 Position principal	 PJ Temporada Actual	 Min Temporada Actual	 Año	 Minutos
 J. Ferrara	 Argentina	 UAI Urquiza	 Primera B	 20	 05	 178	 37	 37	 0.93	 4	 52	 -	 0.014	 -	 LB	 2	 53	 2005	 24	 
 F. Zabala	 Argentina	 Villa San Carlos	 Primera B	 19	 06	 -	 36	 36	 0.94	 1	 53	 -	 0.028	 -	 RW	 1	 13	 2006	 13	 
 T. Hirigoyen	 Argentina	 Sportivo Italiano	 Primera B	 20	 06	 175	 37	 38	 1.05	 -	 52	 -	 0.006	 -	 ST	 4	 106	 2006	 29	 
 N. Damiolini	 Argentina	 Excursionistas	 Primera B	 22	 03	 -	 36	 37	 0.92	 3	 47	 2026-12-31	 0.009	 -	 ST	 4	 192	 2003	 21	 
 B. Gauna	 Argentina	 Liniers	 Primera B	 22	 03	 -	 35	 36	 0.89	 4	 45	 2026-12-31	 0.013	 A One Agency	 ST	 2	 37	 2003	 6	 
 M. Campusano	 Argentina	 Ituzaingó	 Primera B	 22	 03	 -	 26	 26	 0.59	 -5	 35	 -	 0.001	 -	 RM	 5	 450	 2003	 90	 
 T. Ferreyra	 Argentina	 Def. Unidos	 Primera B	 22	 03	 -	 43	 43	 1.09	 6	 52	 -	 0.007	 -	 CM	 4	 289	 2003	 71	 
 Geronimo Tahiel Govi	 Argentina	 Real Pilar	 Primera B	 22	 03	 -	 56	 56	 1.40	 11	 68	 2025-12-31	 0.040	 NLSports	 CB	 4	 360	 2003	 90	 
 Diego Tomas	 Argentina	 Villa Dálmine	 Primera B	 20	 05	 -	 42	 42	 1.06	 11	 42	 -	 0.002	 -	 LB	 4	 360	 2005	 90	 
 A. Martin	 Argentina	 Arg. Quilmes	 Primera B	 22	 04	 -	 26	 26	 0.00	 -	 35	 -	 0.002	 -	 -	 2	 101	 2004	 57	 
 Lautaro Filosa	 Argentina	 Arg. Quilmes	 Primera B	 22	 03	 -	 45	 45	 1.13	 8	 55	 -	 0.010	 -	 CM	 4	 300	 2003	 90	 
 F. Centurion	 Argentina	 Sportivo Italiano	 Primera B	 22	 03	 -	 41	 41	 1.03	 6	 51	 2026-12-31	 0.007	 -	 CM	 4	 254	 2003	 69	 
 J. Tello	 Argentina	 Def. Unidos	 Primera B	 21	 04	 -	 31	 31	 0.83	 -	 47	 -	 0.005	 -	 CM	 4	 254	 2004	 19	 
 M. Blanco	 Argentina	 Excursionistas	 Primera B	 22	 03	 -	 27	 27	 0.69	 1	 38	 -	 0.001	 -	 ST	 4	 300	 2003	 58	 
 N. López	 Argentina	 Dock Sud	 Primera B	 20	 05	 -	 38	 38	 0.96	 3	 53	 -	 0.008	 -	 RB	 2	 180	 2005	 90	 
 I. Serpa	 Argentina	 San Martín Burzaco	 Primera B	 21	 05	 -	 45	 45	 1.22	 7	 60	 -	 0.017	 -	 ST	 4	 326	 2005	 66	 
 C. Sineiro	 Argentina	 Deportivo Merlo	 Primera B	 22	 04	 -	 37	 38	 0.92	 4	 49	 -	 0.002	 -	 CB	 2	 14	 2004	 5	 
 G. González	 Argentina	 Comunicaciones 	 Primera B	 20	 05	 -	 26	 26	 0.00	 -	 35	 -	 0.002	 -	 -	 2	 26	 2005	 22	 
 A. Caceres	 Argentina	 UAI Urquiza	 Primera B	 18	 07	 -	 26	 26	 0.00	 -	 43	 -	 0.002	 -	 -	 4	 307	 2007	 66	 
 L. Romero	 Argentina	 Argentino Merlo	 Primera B	 20	 05	 -	 26	 26	 0.00	 -	 35	 -	 0.002	 -	 -	 1	 13	 2005	 13	 
 
